date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2023-10-21,29669.05,30379.99,29464.77,29909.8,27517.51897,1,28666.198571428573,27469.847666666665,0.030847634150739614,0.056137005649717464
2023-10-22,29909.8,30248.0,29640.0,29992.46,22852.54563,1,29071.671428571426,27583.591666666667,0.020327785541862535,0.04453447499469765
2023-10-23,29992.46,34741.91,29883.6,33069.99,93513.64246,1,29724.41571428571,27800.059333333335,0.16198437874052363,0.11462959367744951
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,1,30513.961428571427,28055.871,0.07401453704703279,0.13416773097780665
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,0,31396.254285714287,28328.912333333334,0.042856220593094824,0.1501574062280988
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,0,32173.104285714286,28593.245333333332,0.0311087791210877,0.03270850701799444
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,1,32776.387142857144,28843.879666666668,0.02500756917818937,-0.0009052927049210124
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,1,33372.27285714286,29079.2,0.018686705214591925,-0.012031812337934378
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,0,34019.90571428572,29333.16433333333,0.024063547412474,0.010957886088113877
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,1,34220.58285714286,29583.57,0.022972911914193168,0.017193132778748677
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,1,34323.01714285714,29805.14333333333,0.020173901238994058,0.01639535224905364
2023-11-01,34639.78,35582.0,34097.39,35421.43,53473.28165,0,34455.21428571428,30069.374000000003,0.04285852854723675,0.025938216219770105
2023-11-02,35421.43,35984.99,34300.0,34941.59,48015.57732,0,34568.061428571425,30319.878333333334,0.047569790378310474,0.013542093005514344
2023-11-03,34941.58,34946.5,34120.0,34716.78,39071.20644,1,34685.88428571429,30551.152000000002,0.023653767230903695,0.0022231671861563385
2023-11-04,34716.78,35255.0,34585.18,35062.07,18377.55545,0,34826.037142857145,30806.208,0.019293840039312393,-0.010145270814871155
2023-11-05,35062.06,35380.0,34448.0,35011.88,24528.73376,1,34895.46428571428,31042.234333333334,0.026581438740336423,0.0020116428588397017
